Wall time,Step,Value
1555882440.3647268,0,0.4561224579811096
1555882456.8457026,1,0.6450680494308472
1555882473.4135945,2,0.739625871181488
1555882489.9329255,3,0.8032312989234924
1555882506.8136342,4,0.8406462669372559
