Wall time,Step,Value
1563989268.390955,0,0.46462586522102356
1563989290.7546754,1,0.5700680017471313
1563989312.9448025,2,0.6423469185829163
1563989335.218301,3,0.7054421901702881
1563989357.6252947,4,0.7790816426277161
1563989380.0098581,5,0.7428571581840515
1563989402.1568182,6,0.8270407915115356
1563989424.0452738,7,0.8324829936027527
1563989445.8674698,8,0.8593537211418152
1563989467.7398915,9,0.8726190328598022
1563989489.6146631,10,0.9049319624900818
1563989511.4205832,11,0.9147959351539612
1563989533.3234427,12,0.9147959351539612
1563989555.423048,13,0.9290816187858582
1563989577.2455845,14,0.9331632852554321
1563989599.2995625,15,0.9484694004058838
1563989621.1716604,16,0.9481292366981506
1563989643.237158,17,0.9477891325950623
1563989665.1289167,18,0.9537414908409119
1563989687.2454014,19,0.9469387531280518
1563989709.433432,20,0.9545918107032776
1563989731.329939,21,0.9647959470748901
1563989753.2939463,22,0.9596938490867615
1563989775.4617193,23,0.9727891087532043
1563989797.6420186,24,0.9661564826965332
