Wall time,Step,Value
1563991222.2520971,0,0.41819727420806885
1563991256.3197725,1,0.5693877339363098
1563991290.252985,2,0.6556122303009033
1563991324.272594,3,0.730272114276886
1563991358.2234533,4,0.7590135931968689
1563991392.2982051,5,0.8034013509750366
1563991426.340643,6,0.8265306353569031
1563991460.3745365,7,0.8573129177093506
1563991494.451229,8,0.884353756904602
1563991528.8506017,9,0.9034013748168945
1563991563.605292,10,0.9200680255889893
1563991598.1092124,11,0.9379251599311829
1563991632.3434734,12,0.9423469305038452
1563991666.4165804,13,0.9557822942733765
1563991700.4358716,14,0.9556122422218323
1563991734.5058641,15,0.9624149799346924
1563991768.5552201,16,0.9636054635047913
1563991802.6878767,17,0.9750000238418579
1563991837.2569335,18,0.9681972861289978
1563991871.9128785,19,0.9809523820877075
1563991906.2416553,20,0.988265335559845
1563991940.3248174,21,0.9901360273361206
1563991975.7103248,22,0.9741496443748474
1563992010.9306803,23,0.9789115786552429
1563992045.4321916,24,0.9710884094238281
