Wall time,Step,Value
1563989821.7394724,0,0.4464285671710968
1563989844.8573382,1,0.5715986490249634
1563989867.9455662,2,0.6612244844436646
1563989891.1731396,3,0.7115646004676819
1563989914.352336,4,0.7653061151504517
1563989937.4684622,5,0.807823121547699
1563989960.6885998,6,0.8391156196594238
1563989983.7739086,7,0.8726190328598022
1563990006.9407349,8,0.8858843445777893
1563990029.994153,9,0.9023809432983398
1563990052.9175146,10,0.9173469543457031
1563990076.7073712,11,0.9311224222183228
1563990100.5667076,12,0.9459183812141418
1563990123.861915,13,0.9477891325950623
1563990147.0723138,14,0.956462562084198
1563990170.237069,15,0.961904764175415
1563990193.3244212,16,0.9656462669372559
1563990216.5055149,17,0.9593537449836731
1563990239.6999462,18,0.9695578217506409
1563990262.91304,19,0.972449004650116
1563990286.21884,20,0.9767006635665894
1563990309.4526327,21,0.9835034012794495
1563990332.5175893,22,0.9807823300361633
1563990355.641585,23,0.9799319505691528
1563990378.7918448,24,0.9814625978469849
