Wall time,Step,Value
1563990413.278717,0,0.4566326439380646
1563990445.761508,1,0.5965986251831055
1563990478.5375257,2,0.650170087814331
1563990510.5815415,3,0.7013605237007141
1563990542.6381154,4,0.7651360630989075
1563990574.6747124,5,0.7952380776405334
1563990606.7505944,6,0.823639452457428
1563990638.8607552,7,0.8539115786552429
1563990670.913994,8,0.8578231334686279
1563990703.0001552,9,0.8914965987205505
1563990735.052966,10,0.9022108912467957
1563990767.0915723,11,0.9113945364952087
1563990799.743742,12,0.9295918345451355
1563990831.8328805,13,0.9350340366363525
1563990863.9837086,14,0.944727897644043
1563990896.1202478,15,0.9476190209388733
1563990928.222294,16,0.9440476298332214
1563990960.3778303,17,0.944727897644043
1563990992.499876,18,0.9527210593223572
1563991024.5589018,19,0.9676870703697205
1563991056.7283409,20,0.9750000238418579
1563991088.8108037,21,0.9760203957557678
1563991120.9033346,22,0.9108843803405762
1563991153.9156966,23,0.813095211982727
1563991186.8794498,24,0.9215986132621765
