Wall time,Step,Value
1563993773.8796802,0,0.48642417788505554
1563993822.240518,1,0.6484801769256592
1563993870.6446934,2,0.7196891903877258
1563993918.9905558,3,0.7658811211585999
1563993967.2579558,4,0.8012295365333557
1563994015.7681692,5,0.8300887942314148
1563994064.621864,6,0.8475922346115112
1563994113.337192,7,0.8680840134620667
1563994161.8274941,8,0.8936133980751038
1563994210.1245756,9,0.9071891903877258
1563994258.5162303,10,0.9173497557640076
1563994306.8974414,11,0.9288763403892517
1563994355.368905,12,0.9396345615386963
1563994404.1756408,13,0.9445867538452148
1563994452.1761174,14,0.9526981115341187
1563994500.2266397,15,0.9550034403800964
1563994548.2877038,16,0.9587602615356445
1563994596.3665485,17,0.9670423269271851
1563994644.4429872,18,0.9650785326957703
1563994692.4717631,19,0.9659323692321777
1563994740.5497196,20,0.9670423269271851
1563994788.6976097,21,0.9760075211524963
1563994836.8098602,22,0.9753244519233704
1563994884.7978225,23,0.9834358096122742
1563994933.3594084,24,0.9825819730758667
