Wall time,Step,Value
1563985031.8093317,0,0.888501763343811
1563985034.358113,1,0.9808362126350403
1563985036.9536061,2,0.9756097793579102
1563985039.604227,3,0.9547038078308105
1563985042.2688806,4,0.9878048896789551
1563985044.9188395,5,0.9860627055168152
1563985047.4792938,6,0.9843205809593201
1563985050.048458,7,0.9825783967971802
1563985052.6722567,8,0.99303138256073
1563985055.2388053,9,0.9773519039154053
1563985057.8157444,10,0.99303138256073
1563985060.4264853,11,0.9912891983985901
1563985063.1637423,12,0.9860627055168152
1563985065.8071918,13,0.99303138256073
1563985068.4226954,14,0.9982578158378601
1563985071.0682433,15,0.996515691280365
1563985073.7088075,16,0.9477351903915405
1563985076.3877182,17,0.9372822046279907
1563985079.0663536,18,0.9738675951957703
1563985081.6715674,19,0.9843205809593201
