Wall time,Step,Value
1563985086.6613317,0,0.8780487775802612
1563985090.0738072,1,0.9703832864761353
1563985093.4702613,2,0.9878048896789551
1563985096.8814955,3,0.9878048896789551
1563985100.299121,4,0.9947735071182251
1563985103.7328591,5,0.9947735071182251
1563985107.1521347,6,0.99303138256073
1563985110.6060092,7,0.9895470142364502
1563985114.011913,8,0.9860627055168152
1563985117.3859935,9,0.9843205809593201
1563985120.7656803,10,0.9947735071182251
1563985124.1701481,11,0.996515691280365
1563985127.5921378,12,0.9895470142364502
1563985130.9959204,13,0.996515691280365
1563985134.3946354,14,0.9895470142364502
1563985137.793594,15,0.9947735071182251
1563985141.1760242,16,0.9982578158378601
1563985144.5929039,17,0.9912891983985901
1563985148.063091,18,0.9843205809593201
1563985151.4785197,19,0.9912891983985901
