Wall time,Step,Value
1564048400.8037634,0,0.8836405277252197
1564048412.7594938,1,0.9416282773017883
1564048424.9534187,2,0.9477726817131042
1564048437.2815783,3,0.9596773982048035
1564048449.3015687,4,0.9627496004104614
1564048461.4707294,5,0.9738863110542297
1564048473.646289,6,0.9827188849449158
1564048485.5720084,7,0.9819508194923401
1564048497.9921706,8,0.9903993606567383
1564048510.0831838,9,0.9834869503974915
1564048522.1529448,10,0.9892473220825195
1564048534.2648997,11,0.9834869503974915
1564048546.1871758,12,0.9892473220825195
1564048558.3636785,13,0.9938555955886841
1564048570.4420571,14,0.9965437650680542
1564048582.416478,15,0.9865591526031494
1564048594.4587536,16,0.9919354915618896
1564048606.7152708,17,0.9946236610412598
1564048618.6963336,18,0.9950076937675476
1564048630.8156283,19,0.9953917264938354
